p	h	t
aviacao	Sistema	s.f. Sistema de navegação aérea que utiliza aparelhos mais leves que o ar (balões, dirigíveis) ou mais pesados (aviões ou aeroplanos), providos estes de motor(es) de explosão ou de reação, salvo os planadores, que não os têm.  A aviação começou com numerosas experiências de vôo em planador, notadamente as de Lilienthal, que morreu no curso de um vôo. Em 1890, Ader fez experiências com uma aeronave de motor a vapor. Na América, em 1903, os irmãos Wright montaram um motor a explosão sobre um planador, mas para a largada utilizaram uma catapulta. Santos Dumont, em 1906, foi o primeiro a efetuar um vôo controlado de avião. Charles Voisin, em 1907, e Farman, em 1908, efetuaram vôos notáveis. Em 1909, Blériot atravessou a Mancha, de Calais a Douvres, e em 1913, Garros atravessou o Mediterrâneo. A guerra de 1914-1918 fez progredir muito a aviação. Desde 1919 organizaram-se grandes linhas de transporte. Em 1927, Lindbergh atravessou sozinho o Atlântico. Estabeleceram-se as ligações intercontinentais; aumentaram-se as velocidades, que ultrapassaram 500 km por hora; os recordes de altitude atingiram 12.000 m. Durante a Segunda Guerra Mundial, na qual as forças aéreas desempenharam papel decisivo, a aviação aumentou prodigiosamente suas possibilidades: tonelagem, velocidade, raio de ação. Desde então, a propulsão a jato permitiu alcançar velocidades consideravelmente mais altas e ultrapassar a velocidade do som, apesar do obstáculo aerodinâmico que ela constitui. Por outro lado, os progressos da radionavegação contribuem para aumentar incessantemente a segurança do vôo.
aviador	Fornecedor	Bras. (Amazônia) Fornecedor e comissário de seringueiros.
aviamento	efeito	s.m. Ação ou efeito de aviar.
aviamento	conclusão	Despacho, conclusão ou andamento de negócio.
aviamento	coadjuvação.	Auxílio, coadjuvação.
aviamento	Preparos,	S.m.pl. Preparos, aprestos e todos os acessórios necessários à conclusão de uma obra.
aviamento	arranjos	Preparos, arranjos para obras de costura.
aviamento	Engenho	Bras. Engenho rústico para fabricar farinha de mandioca.
aviao	Máquina	s.m. Máquina voadora, mais pesada que o ar e propelida por um (ou mais de um) motor de explosão, que aciona uma (ou mais de uma) hélice, ou por turbina a gás (nos modelos a jato). A sustentação desses aparelhos depende de asas fixas à fuselagem (alguns tipos mais modernos apresentam asas retráteis).
aviario	Viveiro	s.m. Viveiro de aves.
aviario	Estabelecimento	Estabelecimento comercial destinado à criação e venda de aves.
avicultor	Criador	s.m. Criador de aves.
avicultura	Criação	s.f. Criação de aves.
avidez	Característica	s.f. Característica ou qualidade do que é ávido.
avidez	Desejo	Desejo ardente, intenso e desmedido por algo ou alguém; cobiça, ambição.
avidez	Condição	Condição de quem está ansioso por alguma coisa, ocasionado pela espera; sofreguidão.
aviso	Ação	s.m. Ação ou efeito de avisar; notícia, novidade; recado.
aviso	Conselho,	Conselho, exortação: foi um aviso salutar. Informação em letreiro para ser lida pelo público.
aviso	Opinião,	Opinião, conceito: salvo melhor aviso.
aviso	navio	Na armada, pequeno navio que tem por missão descobrir o inimigo ou servir de elemento de ligação.
aviso	comunicação	Aviso prévio, comunicação do empregador ao empregado, ou deste àquele, avisando que dentro de determinado prazo será o contrato de trabalho rescindido.
aviso	prefácio	Aviso ao leitor, espécie de prefácio no início de um livro.
avitaminose	doença	s.f. Medicina. Qualquer doença que foi ou pode ser causada pela falta de uma ou várias vitaminas.
avo	Moéda,	Moéda, em Macau e Timor.
avos	Moéda,	Moéda, em Macau e Timor.
axila	Cavidade	s.f. Cavidade localizada debaixo do ombro, entre a extremidade superior do braço e o tórax; sovaco.
axila	Ângulo	Botânica. Ângulo formado na junção da folha com o ramo ou caule.
axioma	Evidência	s.m. Evidência cuja comprovação é dispensável por ser óbvia; princípio evidente por si mesmo.
axioma	Expressão	Expressão que contém um sentido moral ou geral; provérbio, máxima ou sentença.
axioma	Noção	Matemática. Noção comum; afirmação geral aceita sem discussão: "a parte é menor que o todo" é um exemplo de axioma.
axioma	Representação	Gramática. Representação inicial das regras sintagmáticas; estrutura correta sem explicação comprovada.
axonio	Prolongamento	s.m. Prolongamento da célula nervosa, cujo comprimento pode atingir vários decímetros e que é percorrido pelo impulso nervoso.
azar	Casualidade;	s.m. Casualidade; acaso.
azar	Jogo	Jogo de azar, aquele em que só o acaso, a sorte é que decide.
azedume	Característica	s.m. Característica ou particularidade daquilo que é azedo; acidez.
azeite	Óleo	s.m. Óleo de oliva ou azeitona, muito usado em culinária.
azeite	Óleo	Óleo extraído de outros frutos, de plantas ou da gordura de certos animais.
azeiteiro	fabrica	s.m. O que fabrica ou vende azeite.
azeiteiro	Recipiente	Recipiente para azeite.
azeitona	Fruto	s.f. Fruto da oliveira, do qual se extrai um óleo denominado azeite.
azeitoneira	Prato,	Prato, ou vaso, em que se servem azeitonas.
azemola	Besta	s.f. Besta de carga.
azemola	Cavalo	Cavalo velho e estropiado.
azenha	Moinho	s.f. Moinho de roda cuja movimentação acontece através da utilização de água; moinho movido a água.
azimute	Ângulo	s.m. Ângulo de um plano vertical com outro plano vertical escolhido como plano de origem.
azimute	Ângulo	Astronomia. Ângulo diedro orientado de aresta vertical, formado pelo plano vertical que passa por um ponto dado com o plano meridiano do lugar.
azimute	ângulo	Azimute magnético, ângulo formado, por uma direção, com o norte magnético.
azo	Ocasião,	s.m. Ocasião, pretexto, motivo.
azulejo	Ladrilho	s.m. Ladrilho com revestimento, de um lado, de louça vidrada e esmaltada.  Podem ser brancos, coloridos, com desenhos e com relevo, e empregam-se para forrar paredes e compor painéis. Em geral são quadrados e planos, mas há também os retangulares, os hexagonais, os oitavados e os curvos, usados para revestir arestas de paredes.
baba	Bolo	s.m. Bolo embebido de rum, guarnecido de passas de Corinto.
babacu	Palmeira	s.m. Palmeira brasileira de cujo coco se extrai um óleo de grande valor industrial.  Atinge 20m de altura, tem suas maiores reservas no Maranhão e é o segundo mais importante produto vegetal do país, também chamado buguaçu ou coco-de-macaco. Suas folhas, grandes e planas, servem para a cobertura de casas; suas fibras, para a confecção de objetos trançados; e o palmito e o coco, para a alimentação.
babado	Gíria.	s.m. Gíria. Notícia que, sendo geralmente mentirosa, pode ser um boato, uma intriga, um mexerico; fofoca: ela precisava me contar um babado fortíssimo.
babado	Fita	Brasil. Fita (adorno ou remate plissado) usada para enfeitar roupas femininas, roupas de cama, cortinas etc: cortina cheias de babados.
babado	Sugestão	Informal. Sugestão desprovida de seriedade.
babado	Designação	Botânica. Designação comum de um arbusto, encontrado e nativo do México; trombeta-cheirosa.
babado	Sujo	P.ext. Sujo ou manchado pelo excesso de comida que caiu sobre a roupa.
babalorixa	Pai-de-santo,	sm (ioruba babalórishá) Folc Pai-de-santo, no xangô pernambucano; não se lhe atribui a predição do futuro; alufá.
babilonia	Metrópole	s.f. Metrópole construída sem planificação: o antigo bairro virou uma babilônia.
babilonia	ausência	Figurado. Babel; ausência de ordem, de regras; grande confusão e desordem.
babilonia	cidade	História. Antiga cidade da região da Mesopotâmia, situada entre os rios Eufrates e Tigre, atualmente constitui o território do Iraque.
babugem	Espuma	Espuma formada pela agitação da água.
babugem	Restos	Restos de comida ou qualquer outra coisa.
bacalhau	correias	s.m. Bras. Açoite de correias com que se castigavam os escravos.
bacalhau	Pessoa	Fig. Pessoa muito magra.
bacalhau	madeira,	Pedaço de madeira, ferro ou outro material, que se usa como remendo para tapar buraco, fresta ou veio de água.
bacalhau	Servente	Pop. Servente de circo; aquele que no picadeiro secunda as graças do palhaço.
bacalhoada	Prato	s.f. Prato preparado com bacalhau.
bacalhoada	Surra	Bras. Surra ou pancada com bacalhau.
bacamarte	Arma	s.m. Arma de fogo tosca e curta, de cano largo (séc. XVI).
bacamarte	Sujeito	Fig. Sujeito inútil, imprestável, pesadão.
bacanal	Festim	s.f. Festim dissoluto; devassidão; orgia.
bacanal	Festas	S.f.pl. Festas antigas em honra de Baco.
bacante	Sacerdotisa	s.f. Sacerdotisa de Baco, mulher consagrada aos mistérios desse deus mitológico. (Sin.: mênade, tíade.)
bacante	Mulher	Fig. Mulher dissoluta.
bacara	Jogo	s.m. Jogo de cartas entre um banqueiro e diversos parceiros.
bacharel	Indivíduo	s.m. Indivíduo que obteve um diploma em qualquer curso universitário.
bacharel	Pessoa	P.ext. Pouco Usual. Pessoa que concluiu o ensino fundamental ou o segundo grau.
bacharel	Pessoa	P.ext. Pej. Pessoa tagarela; quem fala em excesso.
bacharelado	Designação	s.m. Designação do grau de bacharel; indivíduo que alcançou o grau de bacharel; bacharelato.
bacharelado	curso	O curso em que se pode conseguir o grau de bacharel.
bacharelado	grau	adj. Diz-se do indivíduo que alcançou o grau de bacharel.
bacia	Vaso	s.f. Vaso de louça ou metal, redondo e fundo, de bordas largas, para diversos usos domésticos, sobretudo lavagens.
bacia	Caldeira	Caldeira para torrar amêndoas.
bacia	Prato	Prato em que os barbeiros deitam a água com que ensaboam a barba.
bacia	Prato	Prato grande metálico que se tange com baqueta; gongo; tantã.
bacia	Prato	Prato de balança.
bacia	Prato	Prato onde se lançam as esmolas nas igrejas.
bacia	lago	Pequeno lago circular num jardim.
bacia	Pedra	Pedra que serve de piso nas janelas de sacada.
bacia	Planície	Planície cortada por um rio e cercada de montanhas.
bacia	Conjunto	Conjunto de todas as vertentes que rodeiam um rio ou um mar interior.
bacia	Vale	Vale côncavo cercado de montes.
bacia	Depressão	Depressão do solo para onde convergem as águas.
bacia	Cavidade	Anatomia. Cavidade óssea que serve de base ao tronco e de ponto de apoio aos membros inferiores.
bacia	Bacia	Bacia fluvial, conjunto das terras banhadas por um rio e seus afluentes. O mesmo que bacia hidrográfica.
bacia	bacia	Comprar na bacia das almas, comprar muito barato.
baco	canoa	s.m. Brasil. Uso Regional. Tipo de canoa que se utiliza para lavar diamentes; caixa utilizada para fazer a lavagem de diamantes.
baco	gado	adj. Brasil. Uso Regional. Que possui a pelagem vermelho-amarelada; diz-se do gado que possui a pelagem dessa cor (vermelho-amarelada).
bacteria	micróbios	s.f. Nome comum aos micróbios unicelulares de forma alongada (bacilos) ou esférica (cocos). (As bactérias formam um ramo do reino vegetal.)
badalada	Som	s.f. Som que emana da pancada do badalo do sino, campainha, chocalho etc.
badalo	Haste	s.m. Haste metálica terminada em bola, suspensa no interior de um sino ou campainha, contra as paredes dos quais ela bate.
badalo	língua.	Fam. A língua.
badejo	peixes	s.m. Por esse nome são conhecidos diversos peixes do mar, alguns tradicionais na alimentação brasileira.  Vivem em pequenos cardumes que são vistos sobretudo durante a primavera quando a procriação se intensifica. Coberto de manchas escuras separadas por linhas brancas, o chamado badejo-ferro é o maior de todos, podendo chegar a quase 2m de comprimento. Um de seus hábitos mais curiosos é o de vir à flor da água, em lugares pedregosos, para tomar sol. Tão frequentes quanto ele, no Brasil, são o badejo-branco e o badejo-mira.
badulaque	Guisado	s.m. Guisado de fígado e bofes em bocados pequenos.
badulaque	Trastes	Trastes de pouco valor.
bafejo	Ato	s.m. Ato ou ação de bafejar.
bafio	cheiro	s.m. Mau cheiro que se desprende de uma coisa que esteve muito tempo em recinto fechado e úmido, ou do próprio recinto fechado.
bafo	Ar	s.m. Ar expelido pelos pulmões durante a respiração; sopro leve e quente.
baga	Fruto	s.f. Fruto pequeno.  Os botânicos, definem a baga como um fruto carnoso de sementes múltiplas. Apresenta muitas sementes no interior do ovário dilatado e sumarento.
bagaceira	Aguardente	s.f. Aguardente feita com o bagaço da uva.
bagaceira	Cachaça.	Cachaça.
bagaceira	Local,	Local, próximo do engenho, em que se acumula o bagaço da cana.
bagaceira	Ambiente	Ambiente do engenho.
bagaceira	Conjunto	Conjunto de coisas inúteis; restolho.
bagagem	Objetos	s.f. Objetos que se levam empacotados ou em malas, em viagem, em expedição.
bagagem	Conhecimentos	Fig. Conhecimentos adquiridos: sua bagagem literária é grande.
bagana	Ponta	s.f. Bras. Ponta de cigarro ou de charuto já fumados; guimba.
bagatela	miudeza,	s.f. Coisa sem importância; objeto de pouco preço; ninharia, miudeza, tuta-e-meia, nonada, insignificância.
bago	Fruto	s.m. Fruto do cacho de uva, e fruto ou semente de algumas outras plantas.
bago	Grão	Grão miúdo de chumbo.
bagre	peixes	s.m. Nome comum a vários peixes da famíla dos silurídeos, que vivem principalmente no mar, entrando porém em grandes cardumes, na época da desova, pelos rios.  Os óvulos, postos e fecundados, ao que parece, em um remanso, são recolhidos e mantidos na boca, pelos machos, até o momento da eclosão.
bagulho	Semente	s.m. Semente de certos frutos, como a uva e a pêra, contida no bago.
bagulho	Coisa	Bras. Gír. Coisa clandestina, produto de furto ou roubo.
bagulho	Objeto	Objeto sem valor.
bagunca	Diversão	Uso Informal. Diversão feita de modo muito barulhento; bagunça.
bagunca	Máquina	Brasil. Uso Regional. Máquina que se utiliza para remover aterro.
bagunceiro	Sujeito	s.m. Sujeito bagunceiro; quem é desordeiro.
baia	Espaço	s.f. Geografia Física. Espaço curvilíneo que acompanha a chanfradura de um litoral e que também pode ser utilizado para aportar algumas embarcações: a baía de Guanabara.
baia	Espaço	Espaço de mar entre duas terras ou costas que se prolongam deixando uma grande abertura.
baia	Lagoa	Lagoa com comunicação para um rio.
baia	Canal	Canal para escoamento de pântanos.
baia	curva	Grande curva costeira à margem do mar, enseada, pequeno golfo ou angra.
baia	Local	Local mais extenso no interior de algo em comparação à sua entrada.
baiacu	Espécie	s.m. Espécie de maçarico.
baiacu	Homem	Fig. Homem gordo e baixo.
baiana	Capa	s.f. Capa de couro para conduzir roupa e outros objetos sobre a sela. (Sin.: carona.)
baianada	Porção	s.f. Porção de baianos, na acepção de "maus cavaleiros".
baiao	Dança.	s.m. Dança. Música. Nordeste. Dança e canto popular nordestino cuja origem provém do baião, com aspectos tradicionais do Indu; normalmente, conduzido e acompanhado, principalmente, por uma viola.
baiao	Música.	Dança. Música. Nordeste. Ritmo musical - tipicamente nordestino - difundido a partir de 1946 pelo cantor, compositor e sanfoneiro Luís Gonzaga.
baiao	Município	Brasil. Município brasileiro situado no estado do Pará.
baiao	Vila	Portugal. Vila com aproximadamente 3200 habitantes, pertencente ao distrito do Porto, Portugal,
bailado	Composição	s.m. Composição coreográfica feita para ser representada no teatro, com ou sem acompanhamento musical, e interpretada por um ou mais dançarinos; o mesmo que balé.
bailado	Peça	Peça de teatro, misto de canções e pantomimas.
bailado	Peça	Peça instrumental composta para ilustrar ou criar uma ação dramática dançada.
bailarino	Indivíduo	sm (bailar+ino) 1 O que dança nos teatros em bailados ou bailetes; bailador. 2 fam Indivíduo que anda em bico de pés, meneando muito o corpo. Var: bailarim.
baile	Festa	s.m. Festa em que se dança.
baile	Reunião	Reunião local onde se dança ao som da música.
baile	domínio	Em jogos esportivos, principalmente no futebol, domínio completo de um quadro sobre outro, com derrota fragorosa do mais fraco.
baile	companhia	Corpo de baile, companhia ou grupo de dançarinos em um teatro.
bainha	Dobra	s.f. Dobra com costura na extremidade de um pano, de uma peça do vestuário.
bainha	Estojo	Estojo em que se mete a lâmina de um punhal, espada ou de outro objeto semelhante, para protegê-la de desgaste ou oxidação.
baioneta	espada	s.f. Espécie de pequena espada que se adapta à ponta do fuzil ou do mosquetão.
bairrismo	Qualidade	s.m. Qualidade de bairrista.
bairro	partes	s.m. Cada uma das partes principais em que se localiza a população de uma cidade.
bairro	Porção	Porção de território de uma povoação, mais ou menos separada.
baixa	Ação	s.f. Ação de descer a nível inferior; abaixamento: baixa da temperatura.
baixa	Diminuição	Diminuição do preço das mercadorias, do valor dos fundos públicos, das ações etc.
baixa	Lugar	Lugar onde há pouca altura de água no mar, num rio etc.
baixa	ato	O ato de ser dispensado do serviço, especialmente falando das praças de pré: deram-lhe baixa.
baixo-ventre	Parte	s.m. Parte inferior do ventre.
bala	Projétil	s.f. Projétil das armas de fogo.
balaio	Cesto	s.m. Cesto de palha, geralmente em forma de alguidar.
balanca	Instrumento	s.f. Instrumento que serve para comparar massas, formado de um travessão móvel e de pratos, pondo-se num o corpo a pesar, no outro os pesos marcados.
balanca	Emblema	Emblema da Justiça.
balanca	Equilíbrio	Equilíbrio em geral: balança das forças.
balanca	Constelação	Constelação zodiacal do hemisfério austral. (V. LIBRA)
balanca	aparelho	Balança automática, aparelho de um só prato, cujo travessão comanda uma agulha que indica num quadrante o peso.
balanca	aparelho	Balança de mão, aparelho em que a distensão de uma mola movimenta o ponteiro indicador do peso.
balanca	aparelho	Balança romana, aparelho em que o peso é indicado pelo deslocamento de um cursor num braço alongado.
balanco	Ação	s.m. Ação ou efeito de balançar, resultante de um movimento oscilatório: o balanço do navio.
balanco	Brinquedo	Brinquedo que consiste em um banco suspenso a uma armação por correntes ou cordas, para balançar.
balanco	Comércio.	Comércio. Quadro representativo do ativo e do passivo de uma empresa comercial, periodicamente apurados.
balao	Invólucro	s.m. Invólucro de borracha, de papel ou de plástico, mais ou menos grosso, cheio de gás ou de ar quente, que se eleva na atmosfera; aeróstato.
balao	Globo	Globo de vidro com um ou mais gargalos, para operações e experiências.
balao	Curva	Bras. Curva fechada para retorno de veículos.
balao	Elemento	Elemento gráfico em forma de balão que, nas histórias em quadrinhos, emana das personagens com as palavras que elas pronunciam ou têm em mente.
balaozinho	Balão	sm (balão+zinho) 1 Balão pequeno. 2 Bot Nome comum a várias espécies de trepadeiras do gênero Cardiospermo, cujos frutos formam pequenos balões, no centro dos quais se acha a semente, preta, mais ou menos cordiforme. 3 Trepadeira cultivada (Cardiospermum halicacabum), com numerosas favas grandes, vesiculares, ornamentais.
balaustre	pilar	s.m. Pequeno pilar empregado geralmente com outros e unido a eles por uma laje ou corrimão para formar um apoio ou uma grade.
balaustre	parte	A parte lateral da voluta de um capitel jônico.
balaustre	Haste	Haste de madeira ou metal adaptada a certos veículos para apoio do passageiro ao embarcar ou desembarcar.
balburdia	Confusão	s.f. Confusão muito barulhenta; algazarra.
balburdia	Circunstância	Circunstância tumultuada; pandemônio.
balcao	bancada	s.m. Tipo de bancada e/ou mesa que, em lojas e/ou bares, separa os clientes dos funcionários.
balcao	Móvel	Móvel comprido que, colocado em certas repartições públicas (cartórios, clínicas, hospitais etc), separa o público dos funcionários que são responsáveis pelo atendimento.
balcao	Construção	Construção que ressai da fachada de um prédio; balcão de janela.
balcao	local	Teatro. Num local destinado a espetáculos, geralmente teatrais, tipo de balcão situado acima das últimas cadeiras da plateia, entre as galerias e o camarote.
balde	Vaso	s.m. Vaso de metal, madeira ou plástico, geralmente com alça, para tirar água de poços, receber despejos de lavatórios etc.
balde	papagaio	Espécie de papagaio de papel.
balde	Paredão	Bras. (NE) Paredão de açude.
baleia	Mamífero	s.f. Mamífero marinho, o maior dos animais atuais. (Compr.: 30 m; peso: 150 t; ordem dos cetáceos.)
balela	Afirmação	s.f. Informal. Afirmação desprovida de verdade; boato sem fundamento; mentira.
balido	voz	s.m. A voz do carneiro e da ovelha.
balistica	Ciência	s.f. Ciência que estuda o movimento dos projéteis.
baliza	Boia	s.f. Boia ou estaca que adverte os navegantes dos perigos de um banco de areia ou de um rochedo submerso.
baliza	Sinal	Sinal indicador de uma passagem.
baliza	Marca	Marca do termo de uma corrida de cavalos, de uma regata etc.
baliza	Limite.	Limite.
baliza	Pessoa	Pessoa que vai à frente de um grupo manejando um bastão e fazendo acrobacias, em parada estudantil, passeata esportiva ou exibição carnavalesca.
baliza	Militar	Militar  Soldado que faz demonstração de manejo de arma para ensino da tropa.
baliza	peças	Cada uma das peças que compõem o arcabouço do navio.
baliza	Sinal	Sinal orientador.
baliza	Arco	Futebol. Arco do gol.
balneario	Recinto	S.m. Recinto destinado aos banhos.
balneario	Estabelecimento	Estabelecimento de banhos; praia de banhos.
balonismo	Ato	sm 1 Ato ou esporte de viajar num balão. 2 Hábito de soltar balões.
balsa	Estrado	s.f. Estrado de madeira provido de amurada, para travessia de rio, preso a um cabo fixado em ambas as margens, e semelhante a uma jangada. V. BALÇA.
balsamo	Resina	s.m. Resina odorífera que ressuma de certas árvores.
balsamo	Planta	Planta que destila bálsamo.
bamboleio	Ação	s.m. Ação ou efeito de bambolear.
bambu	Planta	s.m. Bot. Planta gramínea gigante notável pela utilidade do seu caule oco e lenhoso.  O bambu é um parente distante do trigo, da aveia e da cevada. Mas, contrariamente a essas gramíneas cultivadas, a maioria dos bambus é do porte gigantesco. Alguns podem atingir 37m de altura e ter caules de 30cm de diâmetro.
banalidade	Característica	s.f. Característica ou particularidade do que é banal; em que há ou demonstra trivialidade; lugar-comum.
banalidade	circunstância,	Fato, circunstância, discussão ou conversa sem originalidade e relevância.
banalidade	Antigo.	Antigo. Utilização (obrigatória ou livre) pelos vassalos das coisas que pertenciam ao senhor feudal, por meio de pagamento.
banana	Fruto	s.f. Fruto da bananeira, rico em amido.
banana	Gesto	Gesto obsceno.
banana	Cartucho	Cartucho de dinamite.
banca	Mesa	s.f. Mesa comum, geralmente retangular.
banca	Mesa	Mesa para escrever; secretária, carteira.
banca	Escritório	Escritório de advocacia: abrir banca.
banca	quantia	Em certos jogos, a quantia posta sobre a mesa pelo banqueiro para arriscar no jogo.
banca	Comissão	Comissão examinadora de provas escolares e concursos.
bancada	Representação	Bras. Representação de um Estado ou de um partido ou facção na Câmara ou no Senado.
bancarrota	Falência;	s.f. Falência; não pagamento de uma dívida por falta de recursos.
bancarrota	Circunstância	Circunstância em que o Estado, por falta de recursos financeiros, não cumpre com suas obrigações financeiras.
bancarrota	Ruína	P.ext. Ruína ou declínio; perda de fortuna, bens ou propriedades.
banco	Assento	s.m. Assento estreito e comprido de madeira, ferro ou pedra, com encosto ou sem ele.
banco	Pranchão	Pranchão comprido onde certos artífices se sentam ou fixam as peças em que trabalham: banco de carpinteiro.
banco	Camada	Camada ou leito de pedra numa pedreira.
banco	Elevação	Marinha. Elevação do fundo do mar ou de um curso de água.
banco	Cardume	Cardume de peixes por cima da água.
banco	Ilhota	Bras. Ilhota de aluvião no meio de um rio.
banco	lugar	Banco dos réus, lugar onde eles se sentam durante a audiência ou o julgamento.
banco	Empresa	Comércio. Empresa que adianta e recebe fundos, desconta letras, títulos, facilita os pagamentos por meio de empréstimos, realiza quaisquer transações de valores: Banco do Brasil.
banco	Ramo	Ramo de atividade econômica constituída por tais empresas.
banco	Edifício	Edifício onde se efetuam as operações bancárias.
banco	serviço	Banco de sangue, de olhos etc., serviço público ou particular destinado a recolher, conservar e distribuir aos pacientes sangue previamente classificado por grupos para transfusões de emergência, córneas necessárias aos enxertos oculares, ou outros elementos utilizados em medicina ou cirurgia.
banco	arquivo	Informática. Banco de dados, arquivo de dados de diversas fontes, armazenado de forma a possibilitar o acesso de vários usuários; um banco de dados pode conter várias bases de dados.
banda	Lado,	s.f. Lado, parte: da banda do mar.
banda	Faixa	Faixa ou fita larga que serve para ligar, segurar alguma coisa.
banda	Listra	Listra larga de diferente cor ou estofo na borda do vestido; franja.
banda	Talim	Heráld. Talim que atravessa diagonalmente o escudo, do ângulo direito de cima ao ângulo esquerdo de baixo.
banda	Bossagem	Arquitetura. Bossagem cercada de um filete ou moldura.
banda	Cinta	Cinta vermelha, azul ou de outras cores que trazem certas autoridades, magistrados etc.
banda	Fita	Fita larga que os condecorados com grã-cruzes de certas ordens militares trazem a tiracolo.
banda	Corporação	Corporação de músicos.
banda-de-mobius	Símbolo	Símbolo do infinito, representando um caminho sem começo e sem fim onde se pode percorrer toda a superfície da fita que aparenta ter dois lados pelo efeito de torção quando na verdade tem um só.
bandagem	Ato	s.f. Ato de bandar.
bandagem	Trabalho	Trabalho com bandas ou faixas.
bandagem	Faixa,	Faixa, atadura (aplicada sobre um ferimento).
bandeira	Chapa	s.f. Chapa metálica do taxímetro, que ao baixar-se põe a funcionar o marcador do preço da corrida.
bandeira	Partido;	Fig. Partido; facção.
bandeira	expedição	Bras. Nos tempos coloniais, expedição oficial armada que explorava os sertões com a finalidade de descobrir minas e prear índios.
bandeira	bandeira,	Arriar bandeira, declarar-se vencido.
bandeira	sinal	Bandeira branca, sinal de paz ou de querer parlamentar.
bandeira	emblema	Bandeira vermelha, emblema dos partidos revolucionários.
bandeirante	Participante	s.m. Participante de uma bandeira ou expedição destinada a explorar minas ou apresar índios.
bandeirante	Escoteiro	Escoteiro feminino.
bandeirante	paulista.	Adj. e s.m. e f. Natural de São Paulo, paulista.
bandeirinha	Político	S.m. Político versátil.
bandeirinha	Encarregado,	Encarregado, no futebol, de acenar com uma bandeira ao juiz, avisando, entre outras coisas, que a bola saiu de campo; juiz de linha.
bandeja	Tabuleiro	s.f. Tabuleiro de madeira, charão ou metal sobre o qual são transportados alimentos prontos para servir, louça, garrafas, copos etc.
bandeja	abano	Grande abano de palha para limpar o trigo.
bandeja	prato	Grande prato em que os marinheiros comem.
bandeja	Tabuleiro	Tabuleiro em que se servem as refeições a bordo de aviões etc.
bandido	Indivíduo	s.m. Indivíduo que vive de assaltos a mão armada; salteador, malfeitor.
banditismo	Maneira	s.m. Maneira de se comportar própria de bandido; sentimentos particulares ao bandido; estilo de vida de bandido.
banditismo	Acontecimentos	Acontecimentos criminosos cometidos num certo lugar ou época; criminalidade.
bando	conjunto	s.m. Qualquer conjunto de animais ou agrupamento de pessoas: bando de pássaros; bando de funcionários.
bando	parte	Aqueles que fazem parte de um partido ou organização.
bando	Aglomeração	Jurídico. Aglomeração de pessoas que se juntam para praticar crimes; quadrilha.
bando	Conjunto	Etnografia. Conjunto de famílias que habitam determinada região, compartilhando dos mesmos hábitos ou cultura: bando de marroquinos.
bando	modo	Em bando. De modo único; na totalidade: saíram em bando.
bando	Anúncio	s.m. Pouco Usual. Anúncio que se faz publicamente; proclamação.
bandoleira	Correia	s.f. Correia de couro ou de fazenda, em diagonal sobre o peito, que serve para prender uma arma.
bandoleiro	Bandido,	s.m. Bandido, salteador de estradas.
bandoleiro	Homem	Fig. Homem inconstante com mulheres; volúvel.
bandoleiro	Cão	Bras. Cão que acompanha qualquer pessoa.
bandolim	Instrumento	s.m. Instrumento musical de cordas.  Foi provavelmente copiado do alaúde, um instrumento muito mais antigo.
banha	Gordura	s.f. Gordura de animais, especialmente do porco e do urso.
banha	Pomada	Pomada aromatizada para o cabelo.
banheira	Aparelho	s.f. Aparelho sanitário de ferro esmaltado, louça, mármore etc., para água fria ou quente, e no qual se toma banho de imersão.
banhista	Pessoa	s.m. e f. Pessoa que se banha.
banho	Imersão	s.m. Imersão de um corpo em água ou em outro líquido.
banho	Líquido	Química  Líquido em que se mergulham os objetos de cujo preparo se trata.
banho	Vaso	Vaso que contém substância em que se mergulha a vasilha com a matéria que deve ser evaporada ou destilada.
banho	Líquido	Líquido em que se banha uma pessoa ou coisa.
banho	Lugar	Lugar em que se toma banho.
banho	Vitória	Bras. Fig. Vitória por elevado escore; goleada.
banqueiro	Pessoa	s.m. Pessoa que dirige um banco.
banqueiro	Proprietário	Proprietário de casa bancária.
banqueiro	Pessoa	Pessoa que, no jogo, tira as cartas e põe o dinheiro para pagar aos parceiros.
banqueta	Banco	s.f. Banco pequeno sem costas.
banqueta	Parte	Parte elevada do solo de uma trincheira que permite atirar contra o inimigo por cima do parapeito.
banqueta	degrau	Primeiro degrau acima do altar onde se colocam castiçais com velas.
banqueta	Fileira	Fileira dessas velas.
banqueta	Canteiro	Canteiro para plantas e flores.
banqueta	Caminho	Caminho praticado no talude de uma via férrea ou canal.
banqueta	Escavação	Bras. Escavação pequena aberta ao lado de uma grande.
banquete	Refeição	s.m. Refeição solene e aparatosa; festim.
baoba	Árvore	s.m. Árvore africana, hoje cultivada em outras regiões de clima ameno.  O baobá vive muitos anos. Raramente cresce além de 18m, mas seu tronco pode alcançar de nove a 15m de diâmetro. Poucas árvores têm um tronco tão grosso.
baque	Estrondo	s.m. Estrondo de um corpo que cai.
baque	Desastre	Desastre ou ruína súbita.
baque	Palpitação	Palpitação forte.
baque	Momento,	Bras. Momento, instante.
bar	medida	s.m. Meteorologia  Unidade de medida da pressão atmosférica, no sistema C.G.S., equivalente a 105 pascais. (O bar equivale ao hectopiezo, ou seja, cerca de 750 mm de mercúrio.)
